,site2,site3,site6,site8,site9,site10,site11,site12,all site average,all site std
"(1-2,0)",0.6872114202640194,0.6392193412047807,0.5930403199073692,0.6195572869759801,0.9049038976438846,0.875276403689151,0.900464581795241,0.9284699453551912,0.7685178996044522,0.13661241177807726
"(1-2,5-3)",0.6851449508076028,0.6758381515751631,0.610098284928781,0.6345125011306432,0.8875221696559639,0.8602509132776217,0.8679363632014485,0.8955191256830602,0.7646028075325355,0.11568409909643286
"(1-2,5-4)",0.6787857443900088,0.6244576259962548,0.5814705279823297,0.5955511773363451,0.9138445322393218,0.8952276227381571,0.9237386510581488,0.9365573770491803,0.7687041573487183,0.15133368865283855
"(1-3,0)",0.7075676620851075,0.6375735185898063,0.5922015831798346,0.6101574699795923,0.9213237097668441,0.9054009904759408,0.9365573513027297,0.940710382513661,0.7814365834866895,0.14818307807358985
"(1-3,5-3)",0.6476193956105486,0.7658251643829387,0.7390407378705056,0.7138941550398336,0.787351262790132,0.7825752535328392,0.7839785664864146,0.6885792349726777,0.7386079713357363,0.04808982772461756
"(1-3,5-4)",0.6896497891498896,0.7007382821013851,0.6383469499435043,0.6617605144417262,0.8887249901967123,0.8528781163263861,0.869190243414171,0.8978142076502732,0.774887886653006,0.10443305500080566
"(1-4,0)",0.6897458203641796,0.7043745784205536,0.6517357865480682,0.6633985440124007,0.8795559836277801,0.8456616129877493,0.8566196918481537,0.8916393442622951,0.7728414202588976,0.09750604396194242
"(1-4,5-3)",0.5775495399004091,0.7313269306085864,0.7218700975006291,0.6769504279318854,0.7074703402898723,0.7062577521623018,0.6990168885617091,0.7308743169398908,0.6939145367369105,0.04708764194686839
"(1-4,5-4)",0.6301755139668374,0.7632230971996601,0.7478369056556868,0.7125952382010633,0.7719111883632214,0.768868155978349,0.7699888495929655,0.6947540983606558,0.7324191309148049,0.04710576996799445
